state/ut,male-percentage,female-percentage,p-value
ANDAMAN & NICOBAR ISLANDS,20.62690083846385,17.366495976591075,0.814565499898011
ANDHRA PRADESH,9.039085818139355,5.951769054860848,0.3434644981280853
ARUNACHAL PRADESH,33.150584385750626,27.154512813239478,0.8544321262487684
ASSAM,16.53939224852462,11.241943195437901,0.5182457697726552
BIHAR,1.8948229948190762,1.3128863872366223,0.30210891752615865
CHANDIGARH,30.75053860845275,30.207651009821245,0.7332771460408811
CHHATTISGARH,1.9103249890223521,1.3956479797563037,0.30005126302047536
DADRA & NAGAR HAVELI,22.840627580511974,18.179514368218527,0.7040644694946198
DAMAN & DIU,14.541486749921823,13.713338927979688,0.8474819496757099
GOA,53.48404902995373,48.08515370340768,0.7312864671011704
GUJARAT,16.45301585265245,11.708091823418968,0.4593026145485146
HARYANA,5.048102467229069,4.127133556576486,0.29384486732713044
HIMACHAL PRADESH,5.757763134956387,4.339927910275994,0.3063303266624072
JAMMU & KASHMIR,18.955278856234514,14.192765530518722,0.5370344780696732
JHARKHAND,5.705505184044124,3.905131823941969,0.39186238937144946
KARNATAKA,14.593422208926201,10.996294555612202,0.4939896784434915
KERALA,10.819320049924466,8.370938385371614,0.33620305275112305
LAKSHADWEEP,19.427588080789786,11.311004784688995,0.3795940920126415
MADHYA PRADESH,2.0156434971043784,1.4274742097581679,0.2975807440528454
MAHARASHTRA,19.668401328391834,15.276290267454803,0.5790307281227037
MANIPUR,24.763552543956358,18.386362481724632,0.5888705069586452
MEGHALAYA,10.775274963936958,7.740853404309121,0.4477884983944802
MIZORAM,6.250956622891603,3.368354227144299,0.385356626625879
NAGALAND,29.92175857293571,24.205826264634066,0.8005179409612367
NCT OF DELHI,8.25065208494718,7.906043305559882,0.5875413796864789
ODISHA,15.836269388429342,10.43280245208549,0.4146233205831582
PUDUCHERRY,6.662574223156809,4.855832633033385,0.35423476537312726
PUNJAB,29.945363440535566,26.29811812126079,0.5688119155843847
RAJASTHAN,1.8082249563915183,1.1028400991107188,0.2682295505559342
SIKKIM,30.775683288451418,28.512349264539644,0.8832291962482016
TAMIL NADU,3.9022441074797354,2.8797506627152534,0.346069979454243
TRIPURA,6.88991963192017,3.858428343672081,0.40204741678466105
UTTAR PRADESH,1.4806522288223898,1.0895322046211406,0.23499790902044113
UTTARAKHAND,2.131838055126219,1.5821501342118724,0.270832963936619
WEST BENGAL,3.82267078527396,2.454961746089602,0.2747666636542194
